date, pm25, pm10, o3, no2, so2, co
2021/4/1, 121, 159, 55, 31, 42, 11
2021/4/2, 150, 222, 55, 31, 36, 13
2021/4/3, 155, 106, 55, 28, 18, 12
2021/4/4, 143, 166, 48, 24, 16, 9
2021/4/5, 96, 200, 44, 24, 13, 13
2021/4/6, 122, 89, 37, 20, 7, 11
2021/4/7, 112, 82, 32, 24, 12, 9
2021/4/8, 116, 171, 46, 32, 21, 14
2021/4/9, 165, 166, 55, 38, 20, 14
2021/4/10, 190, 166, 59, 30, 23, 12
2021/4/11, 146, 125, 63, 28, 16, 12
2021/4/12, 134, 83, 37, 19, 10, 10
2021/4/13, 99, 72, 41, 24, 15, 10
2021/4/14, 112, 87, 37, 32, 27, 11
2021/4/15, 142, 111, 35, 15, 12, 8
2021/4/16, 116, 89, 34, 18, 5, 7
2021/4/17, 95, 98, 43, 20, 11, 9
2021/4/18, 122, 73, 33, 18, 14, 9
2021/4/19, 98, 68, 44, 18, 14, 8
2021/4/20, 120, 107, 37, 18, 15, 10
2021/4/21, 111, 116, 75, 19, 22, 9
2021/4/22, 133, 78, 42, 16, 19, 8
2021/4/23, 117, 92, 73, 20, 20, 8
2021/4/24, 150, 92, 59, 29, 15, 13
2021/4/25, 125, 93, 55, 24, 15, 12
2021/4/26, 130, 112, 44, 18, 20, 4
2021/4/27, 142, 52, 38, 20, 18, 7
2021/4/28, 95, , , , , 
2021/3/1, 134, 136, 42, 38, 10, 9
2021/3/2, 143, 96, 37, 38, 10, 11
2021/3/3, 124, 156, 37, 46, 15, 14
2021/3/4, 160, 189, 42, 40, 12, 18
2021/3/5, 165, 230, 64, 40, 27, 16
2021/3/6, 203, 55, 37, 28, 18, 10
2021/3/7, 151, 148, 32, 41, 22, 13
2021/3/8, 169, 125, 34, 31, 17, 12
2021/3/9, 147, 132, 42, 35, 18, 17
2021/3/10, 143, 181, 41, 37, 24, 13
2021/3/11, 163, 83, 38, 28, 8, 14
2021/3/12, 121, 108, 45, 33, 16, 15
2021/3/13, 137, 138, 37, 28, 13, 10
2021/3/14, 126, 96, 34, 26, 15, 8
2021/3/15, 134, 108, 36, 26, 12, 11
2021/3/16, 128, 100, 38, 27, 11, 8
2021/3/17, 130, 167, 48, 27, 19, 17
2021/3/18, 144, 185, 44, 30, 23, 14
2021/3/19, 173, 292, 55, 47, 30, 18
2021/3/20, 193, 303, 57, 45, 41, 12
2021/3/21, 202, 180, 44, 34, 25, 14
2021/3/22, 162, 143, 53, 28, 29, 8
2021/3/23, 222, 106, 36, 25, 16, 6
2021/3/24, 132, 91, 28, 26, 15, 9
2021/3/25, 111, 118, 35, 33, 10, 9
2021/3/26, 188, 88, 50, 36, 16, 13
2021/3/27, 152, 163, 39, 31, 17, 13
2021/3/28, 152, 97, 44, 17, 8, 9
2021/3/29, 135, 78, 48, 16, 14, 8
2021/3/30, 118, 112, 41, 21, 23, 10
2021/3/31, 153, 100, 41, 27, 28, 9
2021/2/1, 155, 188, 35, 49, 19, 17
2021/2/2, 159, 206, 40, 49, 16, 16
2021/2/3, 159, 188, 31, 41, 17, 10
2021/2/4, 130, 113, 28, 31, 14, 5
2021/2/5, 119, 97, 40, 27, 10, 7
2021/2/6, 126, 72, 34, 26, 9, 6
2021/2/7, 112, 95, 33, 31, 12, 7
2021/2/8, 130, 216, 32, 43, 14, 14
2021/2/9, 152, 162, 36, 49, 8, 15
2021/2/10, 203, 197, 42, 55, 13, 16
2021/2/11, 179, 134, 38, 52, 13, 19
2021/2/12, 155, 184, 54, 52, 11, 18
2021/2/13, 155, 108, 55, 53, 11, 15
2021/2/14, 170, 67, 42, 33, 8, 9
2021/2/15, 123, 134, 41, 35, 6, 11
2021/2/16, 124, 136, 39, 41, 9, 14
2021/2/17, 154, 80, 40, 34, 6, 7
2021/2/18, 119, 69, 36, 32, 10, 8
2021/2/19, 113, 85, 31, 32, 10, 9
2021/2/20, 113, 85, 38, 37, 10, 11
2021/2/21, 156, 181, 49, 49, 17, 17
2021/2/22, 161, 203, 49, 50, 13, 15
2021/2/23, 141, 170, 51, 50, 9, 20
2021/2/24, 150, 121, 35, 32, 11, 15
2021/2/25, 107, 143, 40, 31, 16, 12
2021/2/26, 119, 82, 36, 28, 10, 8
2021/2/27, 91, 119, 39, 29, 8, 9
2021/2/28, 102, 71, 43, 30, 9, 7
2021/1/4, 193, 116, 36, 28, 8, 10
2021/1/5, 178, 101, 38, 31, 6, 11
2021/1/6, 163, 85, 28, 29, 8, 10
2021/1/7, 145, 98, 24, 35, 11, 7
2021/1/8, 154, 96, 25, 41, 6, 9
2021/1/9, 162, 92, 30, 33, 5, 9
2021/1/10, 161, 80, 30, 36, 5, 10
2021/1/11, 155, 77, 33, 47, 5, 10
2021/1/12, 145, 60, 28, 58, 5, 10
2021/1/13, 128, 75, 26, 42, 3, 8
2021/1/14, 131, 164, 23, 33, 8, 12
2021/1/15, 155, 133, 26, 39, 6, 17
2021/1/16, 154, 188, 35, 47, 9, 18
2021/1/17, 175, 58, 28, 38, 7, 11
2021/1/18, 159, 136, 28, 30, 7, 8
2021/1/19, 158, 262, 28, 33, 6, 17
2021/1/20, 160, 97, 38, 32, 7, 15
2021/1/21, 150, 121, 52, 40, 10, 17
2021/1/22, 158, 72, 27, 23, 7, 10
2021/1/23, 108, 162, 28, 28, 9, 8
2021/1/24, 144, 102, 31, 30, 8, 11
2021/1/25, 135, 111, 32, 29, 12, 7
2021/1/26, 126, 101, 31, 39, 14, 13
2021/1/27, 122, 86, 55, 48, 7, 8
2021/1/28, 125, 124, 25, 35, 7, 9
2021/1/29, 126, 80, 27, 34, 9, 11
2021/1/30, 123, 123, 28, 35, 9, 10
2021/1/31, 140, 137, 31, 43, 13, 16
2020/10/1, 120, 62, 39, 15, 5, 8
2020/10/2, 95, 67, 40, 21, 6, 5
2020/10/3, 116, 72, 30, 21, 12, 7
2020/10/4, 111, 73, 72, 22, 9, 6
2020/10/5, 108, 78, 44, 29, 17, 7
2020/10/6, 114, 77, 43, 33, 11, 9
2020/10/7, 107, 79, 43, 42, 17, 6
2020/10/8, 130, 82, 40, 42, 9, 6
2020/10/9, 113, 81, 41, 48, 13, 9
2020/10/10, 148, 80, 49, 43, 12, 7
2020/10/11, 147, 78, 44, 45, 10, 8
2020/10/12, 151, 91, 36, 50, 11, 8
2020/10/13, 156, 84, 44, 41, 14, 6
2020/10/14, 145, 87, 46, 23, 12, 6
2020/10/15, 149, 75, 45, 18, 8, 9
2020/10/16, 146, 79, 35, 25, 11, 8
2020/10/17, 140, 84, 38, 23, 17, 7
2020/10/18, 142, 95, 45, 22, 13, 9
2020/10/19, 154, 104, 43, 19, 14, 8
2020/10/20, 144, 87, 50, 10, 9, 13
2020/10/21, 138, 85, 49, 21, 8, 9
2020/10/22, 124, 138, 41, 37, 11, 17
2020/10/23, 155, 54, 41, 31, 7, 18
2020/10/24, 143, 58, 48, 42, 13, 14
2020/10/25, 153, 61, 48, 33, 5, 15
2020/10/26, 113, 121, 42, 39, 11, 19
2020/10/27, 142, 86, 48, 46, 15, 11
2020/10/28, 144, 94, 54, 48, 10, 12
2020/10/29, 158, 90, 37, 35, 10, 14
2020/10/30, 154, 77, 35, 31, 11, 16
2020/10/31, 146, 77, 41, 39, 10, 14
2020/11/1, 153, 105, 70, 33, 18, 13
2020/11/2, 146, 269, 36, 28, 12, 18
2020/11/3, 140, 93, 49, 45, 16, 15
2020/11/4, 169, 90, 32, 47, 16, 15
2020/11/5, 141, 103, 40, 44, 11, 15
2020/11/6, 162, 95, 36, 49, 16, 12
2020/11/7, 158, 118, 38, 46, 10, 14
2020/11/8, 173, 109, 46, 48, 9, 12
2020/11/9, 163, 111, 44, 43, 10, 18
2020/11/10, 164, 114, 43, 47, 11, 17
2020/11/11, 179, 122, 47, 42, 10, 13
2020/11/12, 192, 107, 44, 37, 10, 12
2020/11/13, 159, 131, 42, 37, 10, 12
2020/11/14, 180, 195, 56, 30, 8, 9
2020/11/15, 242, 137, 60, 25, 7, 6
2020/11/16, 152, 97, 60, 22, 5, 7
2020/11/17, 155, 91, 57, 22, 7, 5
2020/11/18, 157, 85, 56, 28, 8, 7
2020/11/19, 139, 94, 45, 38, 7, 7
2020/11/20, 152, 89, 42, 23, 4, 8
2020/11/21, 141, 89, 220, 27, 5, 6
2020/11/22, 152, 132, 70, 49, 9, 15
2020/11/23, 163, 119, 37, 57, 7, 15
2020/11/24, 167, 110, 24, 36, 9, 14
2020/11/25, 166, 100, 35, 28, 10, 8
2020/11/26, 160, 80, 34, 25, 7, 5
2020/11/27, 136, 79, 32, 34, 8, 8
2020/11/28, 119, 96, 31, 39, 10, 11
2020/11/29, 142, 104, 95, 43, 16, 11
2020/11/30, 146, 105, 34, 47, 14, 13
2020/12/1, 148, 125, 43, 51, 12, 14
2020/12/2, 157, 121, 35, 58, 9, 14
2020/12/3, 156, 186, 39, 57, 17, 18
2020/12/4, 171, 311, 24, 73, 17, 26
2020/12/5, 197, 147, 41, 64, 10, 12
2020/12/6, 164, 120, 34, 63, 12, 13
2020/12/7, 160, 105, 39, 62, 12, 13
2020/12/8, 158, 119, 36, 58, 8, 15
2020/12/9, 163, 144, 36, 50, 16, 9
2020/12/10, 166, 34, 22, 27, 6, 6
2020/12/11, 109, 46, 26, 21, 7, 6
2020/12/12, 136, 89, 32, 23, 7, 10
2020/12/13, 153, 87, 26, 20, 8, 10
2020/12/14, 153, 86, 22, 20, 9, 8
2020/12/15, 154, 93, 46, 20, 7, 12
2020/12/16, 156, 98, 55, 23, 6, 6
2020/12/17, 153, 94, 34, 23, 16, 9
2020/12/18, 150, 85, 45, 21, 5, 8
2020/12/19, 128, 80, 37, 24, 8, 7
2020/12/20, 120, 102, 52, 27, 10, 12
2020/12/21, 135, 111, 38, 35, 8, 16
2020/12/22, 145, 182, 31, 38, 12, 16
2020/12/23, 147, 91, 37, 40, 12, 12
2020/12/24, 144, 71, 36, 26, 8, 8
2020/12/25, 132, 133, 47, 35, 7, 17
2020/12/26, 155, 87, 41, 28, 4, 6
2020/12/27, 138, 128, 31, 28, 6, 10
2020/12/28, 130, 89, 31, 30, 5, 6
2020/12/29, 128, 88, 36, 29, 5, 9
2020/12/30, 148, 91, 33, 25, 7, 9
2020/12/31, 156, 109, 34, 31, 11, 9
2021/1/1, 166, 107, 31, 37, 7, 9
2021/1/2, 159, 107, 44, 31, 5, 10
2021/1/3, 159, 186, 39, 38, 11, 12
2020/7/1, 71, 55, 43, 9, 9, 6
2020/7/2, 51, 68, 37, 13, 6, 4
2020/7/3, 70, 61, 50, 12, 10, 6
2020/7/4, 88, 41, 38, 8, 7, 4
2020/7/5, 60, 38, 26, 9, 10, 5
2020/7/6, 62, 44, 29, 7, 7, 5
2020/7/7, 56, 53, 149, 10, 8, 7
2020/7/8, 89, 51, 244, 13, 8, 5
2020/7/9, 99, 36, 191, 13, 6, 5
2020/7/10, 82, 40, 335, 11, 7, 5
2020/7/11, 71, 52, 246, 12, 10, 5
2020/7/12, 82, 62, 296, 11, 9, 5
2020/7/13, 98, 67, 295, 14, 8, 5
2020/7/14, 112, 66, 280, 14, 7, 5
2020/7/15, 103, 62, 278, 23, 10, 7
2020/7/16, 87, 45, 298, 15, 7, 6
2020/7/17, 68, 40, 364, 8, 6, 5
2020/7/18, 59, 55, 280, 10, 6, 5
2020/7/19, 84, 48, 297, 12, 7, 6
2020/7/20, 90, 39, 500, 12, 7, 4
2020/7/21, 80, 46, 263, 15, 7, 5
2020/7/22, 97, 49, 235, 15, 8, 4
2020/7/23, 98, 57, 371, 14, 4, 5
2020/7/24, 116, 55, 262, 20, 5, 7
2020/7/25, 121, 51, 280, 11, 5, 6
2020/7/26, 92, 36, 335, 17, 6, 7
2020/7/27, 83, 49, 280, 12, 6, 7
2020/7/28, 98, 48, 254, 11, 4, 7
2020/7/29, 98, 64, 237, 20, 5, 6
2020/7/30, 125, 53, 13, 17, 6, 8
2020/7/31, 119, 39, 41, 14, 7, 7
2020/8/1, 88, 41, 18, 11, 10, 8
2020/8/2, 82, 39, 27, 8, 9, 7
2020/8/3, 64, 51, 28, 9, 7, 7
2020/8/4, 64, 59, 28, 14, 8, 7
2020/8/5, 85, 39, 17, 16, 9, 7
2020/8/6, 89, 46, 24, 12, 5, 8
2020/8/7, 89, 47, 34, 13, 8, 5
2020/8/8, 84, 59, 38, 17, 9, 5
2020/8/9, 117, 81, 38, 17, 8, 7
2020/8/10, 134, 83, 40, 14, 6, 6
2020/8/11, 118, 50, 230, 12, 5, 6
2020/8/12, 82, 45, 138, 9, 6, 8
2020/8/13, 69, 43, 40, 15, 5, 8
2020/8/14, 69, 67, 28, 20, 4, 10
2020/8/15, 90, 60, 30, 19, 5, 6
2020/8/16, 93, 50, 28, 18, 6, 10
2020/8/17, 85, 45, 16, 18, 5, 11
2020/8/18, 86, 49, 21, 14, 6, 4
2020/8/19, 89, 54, 15, 13, 6, 5
2020/8/20, 100, 53, 19, 13, 5, 5
2020/8/21, 102, 52, 16, 13, 6, 3
2020/8/22, 106, 51, 20, 15, 4, 4
2020/8/23, 92, 47, 19, 16, 6, 4
2020/8/24, 67, 51, 10, 13, 5, 4
2020/8/25, 82, 51, 31, 11, 8, 5
2020/8/26, 79, 52, 30, 11, 7, 4
2020/8/27, 88, 51, 31, 11, 7, 5
2020/8/28, 77, 53, 29, 11, 5, 5
2020/8/29, 85, 49, 21, 12, 3, 6
2020/8/30, 84, 43, 27, 15, 5, 6
2020/8/31, 63, 49, 15, 12, 5, 4
2020/9/1, 89, 50, 21, 11, 5, 7
2020/9/2, 92, 70, 29, 14, 5, 4
2020/9/3, 115, 59, 28, 17, 5, 7
2020/9/4, 105, 67, 25, 17, 6, 10
2020/9/5, 115, 58, 29, 14, 5, 5
2020/9/6, 81, 53, 27, 13, 6, 8
2020/9/7, 90, 50, 27, 16, 7, 8
2020/9/8, 72, 55, 38, 20, 5, 7
2020/9/9, 91, 60, 49, 16, 8, 6
2020/9/10, 105, 54, 72, 14, 6, 6
2020/9/11, 92, 52, 44, 16, 8, 6
2020/9/12, 82, 45, 23, 13, 6, 5
2020/9/13, 60, 42, 34, 14, 9, 6
2020/9/14, 47, 46, 40, 15, 5, 7
2020/9/15, 67, 51, 42, 14, 6, 6
2020/9/16, 74, 47, 30, 14, 7, 7
2020/9/17, 90, 45, 19, 21, 7, 5
2020/9/18, 94, 54, 21, 16, 9, 6
2020/9/19, 81, 54, 31, 15, 10, 7
2020/9/20, 81, 50, 37, 15, 12, 5
2020/9/21, 67, 63, 37, 17, 9, 6
2020/9/22, 103, 73, 34, 20, 6, 7
2020/9/23, 140, 68, 36, 21, 4, 5
2020/9/24, 111, 68, 34, 21, 6, 8
2020/9/25, 124, 66, 39, 18, 7, 6
2020/9/26, 111, 64, 32, 18, 6, 4
2020/9/27, 99, 72, 38, 29, 18, 7
2020/9/28, 127, 72, 41, 23, 7, 6
2020/9/29, 127, 69, 35, 22, 6, 6
2020/9/30, 121, 65, 38, 19, 5, 6
2020/4/1, 79, 67, 32, 12, 8, 2
2020/4/2, 80, 66, 39, 18, 10, 6
2020/4/3, 94, 65, 47, 17, 13, 3
2020/4/4, 107, 66, 46, 18, 13, 3
2020/4/5, 116, 70, 42, 12, 9, 2
2020/4/6, 121, 74, 44, 7, 13, 3
2020/4/7, 116, 67, 141, 6, 14, 2
2020/4/8, 102, 68, 39, 10, 9, 2
2020/4/9, 95, 62, 37, 12, 13, 3
2020/4/10, 90, 59, 34, 15, 12, 3
2020/4/11, 90, 58, 38, 11, 8, 2
2020/4/12, 79, 51, 39, 11, 12, 3
2020/4/13, 186, 58, 35, 10, 11, 2
2020/4/14, 92, 55, 34, 8, 9, 3
2020/4/15, 75, 64, 38, 19, 11, 4
2020/4/16, 114, 61, 38, 11, 7, 2
2020/4/17, 88, 70, 35, 8, 15, 3
2020/4/18, 89, 54, 36, 6, 10, 2
2020/4/19, 69, 61, 33, 6, 12, 2
2020/4/20, 87, 60, 33, 7, 7, 3
2020/4/21, 92, 70, 37, 7, 8, 3
2020/4/22, 94, 63, 38, 6, 15, 2
2020/4/23, 92, 63, 43, 10, 8, 2
2020/4/24, 85, 57, 37, 5, 8, 3
2020/4/25, 83, 59, 41, 5, 3, 3
2020/4/26, 80, 64, 48, 8, 13, 3
2020/4/27, 92, 65, 48, 11, 19, 3
2020/4/28, 94, 61, 51, 10, 14, 5
2020/4/29, 83, 60, 55, 7, 16, 3
2020/4/30, 83, 67, 50, 5, 12, 4
2020/5/1, 85, 53, 54, 6, 12, 4
2020/5/2, 72, 54, 55, 6, 8, 5
2020/5/3, 75, 58, 56, 6, 9, 6
2020/5/4, 76, 89, 59, 12, 2, 4
2020/5/5, 95, 61, 59, 8, 4, 5
2020/5/6, 81, 60, 55, 9, 6, 3
2020/5/7, 91, 56, 54, 6, 6, 4
2020/5/8, 80, 59, 48, 7, 6, 4
2020/5/9, 75, 53, 54, 6, , 6
2020/5/10, 81, 55, 48, 6, , 5
2020/5/11, 70, 57, 55, 7, , 4
2020/5/12, 71, 56, 48, 7, 6, 3
2020/5/13, 73, 55, 52, 8, 6, 3
2020/5/14, 71, 62, 59, 8, 6, 4
2020/5/15, 64, 76, 50, 8, 6, 3
2020/5/16, 103, 53, 53, 8, 6, 5
2020/5/17, 82, 52, 53, 9, 6, 6
2020/5/18, 69, 50, 53, 11, 6, 4
2020/5/19, 76, 63, 57, 9, 6, 5
2020/5/20, 79, 65, 53, 11, , 4
2020/5/21, 97, 68, 56, 15, , 5
2020/5/22, 91, 63, 53, 9, , 5
2020/5/23, 87, 56, 55, 7, , 7
2020/5/24, 78, 57, 52, 6, , 5
2020/5/25, 77, 73, 49, 8, , 4
2020/5/26, 91, 67, 47, 9, , 7
2020/5/27, 91, 65, 46, 8, , 5
2020/5/28, 88, 63, 37, 8, , 4
2020/5/29, 75, 55, 45, 7, , 3
2020/5/30, 79, 56, 45, 6, , 3
2020/5/31, 74, 385, 46, 10, 5, 5
2020/6/1, 88, 292, 74, 19, 21, 3
2020/6/2, 278, 120, 58, 19, 11, 3
2020/6/3, 152, 62, 134, 16, 10, 7
2020/6/4, 84, 66, 129, 14, 6, 5
2020/6/5, 89, 54, 35, 18, 7, 5
2020/6/6, 94, 57, 34, 14, 6, 7
2020/6/7, 68, 58, 27, 12, 5, 5
2020/6/8, 72, 64, 36, 10, 5, 7
2020/6/9, 69, 69, 37, 9, 9, 7
2020/6/10, 75, 53, 32, 12, 8, 6
2020/6/11, 68, 68, 39, 9, 7, 7
2020/6/12, 69, 52, 25, 12, 9, 10
2020/6/13, 71, 65, 32, 12, 9, 7
2020/6/14, 75, 51, 29, 14, 9, 7
2020/6/15, 68, 64, 32, 10, 5, 7
2020/6/16, 93, 7, 26, 18, 4, 6
2020/6/17, 289, 65, 40, 15, 5, 4
2020/6/18, 32, 67, 37, 15, 4, 6
2020/6/19, 62, 60, 39, 9, 4, 4
2020/6/20, 74, 75, 34, 5, 5, 6
2020/6/21, 76, 68, 37, 7, 6, 4
2020/6/22, 61, 67, 40, 6, 6, 4
2020/6/23, 69, 56, 32, 12, 5, 6
2020/6/24, 88, 65, 38, 10, 5, 5
2020/6/25, 88, 98, 38, 13, 4, 5
2020/6/26, 102, 66, 37, 21, 5, 4
2020/6/27, 97, 76, 195, 10, 5, 4
2020/6/28, 93, 72, 289, 11, 5, 5
2020/6/29, 87, 73, 35, 25, 7, 6
2020/6/30, 108, 76, 38, 15, 6, 5
2020/1/1, 162, 87, 9, 6, 11, 7
2020/1/2, 159, 87, 9, 6, 15, 7
2020/1/3, 157, 92, 9, 9, 19, 8
2020/1/4, 147, 75, 9, 6, 19, 5
2020/1/5, 133, 80, 9, 7, 17, 8
2020/1/6, 123, 101, 9, 9, 26, 6
2020/1/7, 157, 78, 9, 7, 13, 6
2020/1/8, 135, 67, 9, 5, 19, 6
2020/1/9, 108, 77, 9, 4, 12, 6
2020/1/10, 139, 78, 9, 6, 20, 7
2020/1/11, 147, 102, 9, 9, 26, 9
2020/1/12, 166, 82, 9, 7, 33, 6
2020/1/13, 150, 31, 9, 6, 11, 5
2020/1/14, 103, 61, 9, 7, 8, 5
2020/1/15, 119, 62, 9, 5, 4, 5
2020/1/16, 112, 360, 9, 7, 17, 6
2020/1/17, 159, 74, 9, 11, 30, 6
2020/1/18, 136, 62, 9, 9, 20, 5
2020/1/19, 103, 65, 9, 6, 22, 6
2020/1/20, 102, 84, 9, 11, 36, 7
2020/1/21, 130, 82, 9, 9, 23, 5
2020/1/22, 133, 68, 9, 7, 16, 5
2020/1/23, 111, 63, 9, 11, 33, 5
2020/1/24, 106, 89, 23, 10, 51, 5
2020/1/25, 153, 120, 14, 5, 50, 16
2020/1/26, 131, 65, 19, 13, 23, 4
2020/1/27, 95, 55, 16, 7, 15, 4
2020/1/28, 63, 60, 13, 8, 38, 7
2020/1/29, 93, 67, 20, 12, 57, 6
2020/1/30, 112, 78, 19, 23, 37, 7
2020/1/31, 141, 81, 29, 23, 24, 11
2020/2/1, 136, 70, 10, 17, 15, 5
2020/2/2, 128, 76, 29, 20, 13, 6
2020/2/3, 146, 87, 30, 26, 22, 7
2020/2/4, 156, 92, 23, 27, 26, 7
2020/2/5, 157, 81, 25, 24, 23, 5
2020/2/6, 134, 89, 27, 24, 22, 9
2020/2/7, 149, 94, 34, 23, 21, 3
2020/2/8, 272, 84, 16, 18, 12, 5
2020/2/9, 157, 82, 31, 22, 15, 6
2020/2/10, 149, 95, 29, 25, 21, 6
2020/2/11, 161, 114, 32, 23, 24, 10
2020/2/12, 163, 110, 32, 21, 17, 5
2020/2/13, 163, 81, 12, 26, 23, 5
2020/2/14, 128, 91, 31, 30, 26, 7
2020/2/15, 156, 84, 31, 28, 28, 5
2020/2/16, 140, 104, 35, 20, 25, 9
2020/2/17, 122, 102, 35, 26, 29, 12
2020/2/18, 155, 122, 62, 31, 67, 6
2020/2/19, 174, 106, 33, 32, 50, 5
2020/2/20, 138, 85, 28, 23, 33, 4
2020/2/21, 128, 72, 35, 24, 19, 4
2020/2/22, 104, 75, 21, 24, 20, 4
2020/2/23, 138, 94, 36, 33, 19, 5
2020/2/24, 147, 139, 34, 44, 42, 8
2020/2/25, 153, 157, 24, 57, 61, 11
2020/2/26, 196, 109, 33, 43, 34, 14
2020/2/27, 166, 106, 35, 41, 32, 12
2020/2/28, 145, 90, 36, 33, 32, 10
2020/2/29, 133, 84, 21, 26, 34, 9
2020/3/1, 128, 98, 22, 28, 35, 9
2020/3/2, 134, 112, 14, 29, 70, 11
2020/3/3, 164, 85, 39, 13, 28, 6
2020/3/4, 120, 80, 29, 10, 32, 4
2020/3/5, 113, 87, 25, 13, 36, 3
2020/3/6, 127, 92, 35, 18, 18, 4
2020/3/7, 122, 68, , 21, 18, 5
2020/3/8, 189, 68, 35, 13, 17, 4
2020/3/9, 103, 69, 6, 7, 11, 3
2020/3/10, 102, 64, 6, 9, 9, 2
2020/3/11, 92, 79, 7, 13, 17, 2
2020/3/12, 104, 72, 33, 11, 10, 2
2020/3/13, 108, 78, 31, 15, 21, 3
2020/3/14, 111, 80, 25, 14, 13, 2
2020/3/15, 110, 67, 40, 15, 12, 3
2020/3/16, 103, 82, 38, 16, 15, 6
2020/3/17, 130, 84, 42, 19, 18, 6
2020/3/18, 137, 101, 25, 19, 31, 4
2020/3/19, 175, 72, 25, 14, 27, 3
2020/3/20, 116, 89, 28, 13, 39, 5
2020/3/21, 155, 85, 23, 7, 20, 6
2020/3/22, 122, 76, 39, 14, 15, 3
2020/3/23, 112, 71, 38, 10, 20, 4
2020/3/24, 93, 69, 28, 16, 26, 11
2020/3/25, 99, 67, 32, 10, 14, 2
2020/3/26, 111, 33, 26, 8, 7, 3
2020/3/27, 77, 59, 30, 16, 7, 2
2020/3/28, 101, 61, 29, 12, 10, 3
2020/3/29, 71, 67, 26, 16, 8, 2
2020/3/30, 86, 71, 31, 9, 15, 2
2020/3/31, 86, 66, 29, 9, 10, 3
2019/10/1, 83, 76, 26, 55, 53, 31
2019/10/2, 132, 86, 32, 46, 43, 30
2019/10/3, 126, 86, 37, 47, 48, 36
2019/10/4, 122, 92, 31, 75, 58, 35
2019/10/5, 139, 81, 64, 56, 59, 28
2019/10/6, 148, 108, 58, 71, 55, 38
2019/10/7, 178, 99, 68, 70, 58, 34
2019/10/8, 152, 125, 65, 80, 54, 25
2019/10/9, 178, 120, 59, 79, 54, 38
2019/10/10, 190, 99, 85, 84, 55, 34
2019/10/11, 141, 129, 92, 92, 62, 24
2019/10/12, 185, 191, 13, 79, , 
2019/10/13, 245, 166, 67, 75, 61, 10
2019/10/14, 168, 130, 80, 84, 58, 32
2019/10/15, 165, 121, 89, 83, 54, 20
2019/10/16, 169, 112, 81, 86, 51, 30
2019/10/17, 174, 110, 75, 85, , 19
2019/10/18, 182, 100, 76, 74, 41, 7
2019/10/19, 167, 87, 57, 71, 43, 6
2019/10/20, 167, 82, 81, 56, 44, 3
2019/10/21, 163, 87, 83, 50, 45, 3
2019/10/22, 166, 64, 66, 53, 46, 3
2019/10/23, 125, 76, 94, 60, 46, 4
2019/10/24, 130, 97, 90, 76, 53, 6
2019/10/25, 161, 77, 94, 40, 37, 2
2019/10/26, 146, 63, 63, 32, 48, 4
2019/10/27, 141, 104, 28, 31, 43, 2
2019/10/28, 146, 69, 30, 27, 43, 2
2019/10/29, 101, 43, 32, 33, 52, 11
2019/10/30, 57, 90, 40, 52, 49, 13
2019/10/31, 127, 95, 34, 52, 53, 9
2019/11/1, 145, 78, 21, 40, 49, 8
2019/11/2, 110, 56, 23, 48, 52, 11
2019/11/3, 94, 79, 60, 76, 52, 8
2019/11/4, 153, 88, 75, 84, 55, 10
2019/11/5, 164, 108, 70, 77, 46, 8
2019/11/6, 181, 61, 29, 74, 59, 9
2019/11/7, 134, 69, 19, 67, 61, 8
2019/11/8, 149, 76, 27, 68, 60, 9
2019/11/9, 132, 89, 27, 66, 60, 8
2019/11/10, 156, 108, 27, 79, , 12
2019/11/11, 165, 142, 27, 99, , 12
2019/11/12, 169, 107, 21, 89, , 12
